a,p,id
1,0.30280603915556753,1
2,0.2739902346352194,1
3,0.2029769581066296,1
4,0.12311174830687761,1
5,0.06113548493326236,1
6,0.024855833307393004,1
7,0.008273788169250729,1
8,0.0022548703249495013,1
9,5.031295767199243e-4,1
10,9.191348413035654e-5,1
1,0.2150801442203354,2
2,0.23770032044783077,2
3,0.2150801442203354,2
4,0.15933528974527614,2
5,0.09664173840470593,2
6,0.04799086702463082,2
7,0.01951163047686049,2
8,0.006494857581549028,2
9,0.0017700551822001068,2
10,3.9495269627586797e-4,2
1,0.13748360001947144,3
2,0.18558344838353985,3
3,0.2051014300296813,3
4,0.18558344838353985,3
5,0.13748360001947144,3
6,0.08338801861947782,3
7,0.0414092645587171,3
8,0.016835750601746066,3
9,0.005604134547673807,3
10,0.0015273048366813975,3
1,0.07707833139434946,4
2,0.12708068447993742,4
3,0.17154098121803057,4
4,0.1895821037003283,4
5,0.17154098121803057,4
6,0.12708068447993742,4
7,0.07707833139434946,4
8,0.038275966611197955,4
9,0.015561846721357289,4
10,0.005180088782481606,4
1,0.037049771887236176,5
2,0.0746090784490854,5
3,0.12300957462634163,5
4,0.16604555772554486,5
5,0.1835087214739234,5
6,0.16604555772554486,5
7,0.12300957462634163,5
8,0.0746090784490854,5
9,0.037049771887236176,5
10,0.015063313149660428,5
1,0.015063313149660428,6
2,0.037049771887236176,6
3,0.0746090784490854,6
4,0.12300957462634163,6
5,0.16604555772554486,6
6,0.1835087214739234,6
7,0.16604555772554486,6
8,0.12300957462634163,6
9,0.0746090784490854,6
10,0.037049771887236176,6
1,0.005180088782481606,7
2,0.015561846721357289,7
3,0.038275966611197955,7
4,0.07707833139434946,7
5,0.12708068447993742,7
6,0.17154098121803057,7
7,0.1895821037003283,7
8,0.17154098121803057,7
9,0.12708068447993742,7
10,0.07707833139434946,7
1,0.0015273048366813975,8
2,0.005604134547673807,8
3,0.016835750601746066,8
4,0.0414092645587171,8
5,0.08338801861947782,8
6,0.13748360001947144,8
7,0.18558344838353985,8
8,0.2051014300296813,8
9,0.18558344838353985,8
10,0.13748360001947144,8
1,3.9495269627586797e-4,9
2,0.0017700551822001068,9
3,0.006494857581549028,9
4,0.01951163047686049,9
5,0.04799086702463082,9
6,0.09664173840470593,9
7,0.15933528974527614,9
8,0.2150801442203354,9
9,0.23770032044783077,9
10,0.2150801442203354,9
1,9.191348413035654e-5,10
2,5.031295767199243e-4,10
3,0.0022548703249495013,10
4,0.008273788169250729,10
5,0.024855833307393004,10
6,0.06113548493326236,10
7,0.12311174830687761,10
8,0.2029769581066296,10
9,0.2739902346352194,10
10,0.30280603915556753,10
